a,tweets
2022-02-19 13:58:22+00:00,"b'@mr_chung ""Gates said it was already ""too late"" to reach the World Health Organization\'s goal to vaccinate 70% of t\xe2\x80\xa6 https://t.co/Tf7T4jn5bZ'"

2022-02-19 13:58:20+00:00,b'RT @zchagla: 1.2 billion dollars to test people on arrival. \n\nPeoples turnarounds being over a week.\n\nSo much money lost for such useless t\xe2\x80\xa6'

2022-02-19 13:58:20+00:00,b'https://t.co/5TKLzyxtns\n\nBoris Went To A Carehome after becoming infected with COVID-19?! - Part 4\n\n#BorisJohnson\xe2\x80\xa6 https://t.co/Xz696C7NTC'

2022-02-19 13:58:17+00:00,"b'RT @ABC: Tennessee family shares memories of their 7-year-old daughter, who died less than 72 hours after testing positive for COVID-19. ht\xe2\x80\xa6'"

2022-02-19 13:58:17+00:00,"b'RT @BenSpurr: Bike Share Toronto posted record trip numbers in the first two years of the pandemic, even as traffic levels dropped and tran\xe2\x80\xa6'"

2022-02-19 13:58:17+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/4xVAbhacm8"""

2022-02-19 13:58:16+00:00,"b'RT @BashirAhmaad: President @MBuhari yesterday, in Brussels, Belgium, welcomed the designation of Nigeria as one of the six countries in Af\xe2\x80\xa6'"

2022-02-19 13:58:15+00:00,"b'RT @JeanneNoble18: ""Subjecting a low-risk group of people to severe restrictions, forbidding them to travel off campus, dine in restaurants\xe2\x80\xa6'"

2022-02-19 13:58:14+00:00,"b""RT @UrHimanshuBorah: Many aspirants lost their job, they themselves got positive many lost their loved ones their family's health got deter\xe2\x80\xa6"""

2022-02-19 13:58:13+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 13:58:12+00:00,b'RT @WSJ: New York has become the latest state to delay a mandate for healthcare workers to receive Covid-19 vaccine boosters after warnings\xe2\x80\xa6'

2022-02-19 13:58:12+00:00,b'RT @Rwandapolice: We remind the spectators and road users that #Covid-19 is still roaming and they should continue  adhering to all prevent\xe2\x80\xa6'

2022-02-19 13:58:11+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-19 13:58:11+00:00,"b'RT @thehill: Bill Gates says risk of severe COVID-19 have reduced, warns of another pandemic caused by another pathogen https://t.co/CfmZSh\xe2\x80\xa6'"

2022-02-19 13:58:11+00:00,"b""RT @TIME: Even as Omicron numbers drop, we shouldn't assume that the COVID-19 pandemic is over. Now is the time to prepare for future waves\xe2\x80\xa6"""

2022-02-19 13:58:11+00:00,"b'RT @NAChristakis: In this randomized trial of 490 high-risk patients with mild-to-moderate COVID-19, ivermectin treatment during early illn\xe2\x80\xa6'"

2022-02-19 13:58:10+00:00,"b'RT @ABC11_WTVD: ""People can\'t live forever wearing masks,"" Raleigh Mayor Mary-Ann Baldwin said on dropping face-covering mandates  https://\xe2\x80\xa6'"

2022-02-19 13:58:08+00:00,b'RT @GosiaGasperoPhD: \xe2\x80\x98According to the Government of Canada re #LongCovidKids\n\n\xe2\x80\x9cAbout 58% of children had 1 or more symptoms 4 weeks or mor\xe2\x80\xa6'

2022-02-19 13:58:07+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:58:06+00:00,"b'RT @inquirerdotnet: Filmmaker Jarell Serencio, who was stranded in France during the COVID-19 Omicron variant surge in December, said he \xe2\x80\x9cm\xe2\x80\xa6'"

2022-02-19 13:58:05+00:00,"b'@GOP @GOPChairwoman Your small business was shut down, because:\n\n""Trump\'s appalling response\xe2\x80\x9d to the coronavirus pa\xe2\x80\xa6 https://t.co/fjaMqJBA2f'"

2022-02-19 13:58:05+00:00,"b'RT @_ShrutiST: Allowing covid to ""spread in an unmonitored and unfettered manner will be damaging to the health of millions"" @TheBMA has sa\xe2\x80\xa6'"

2022-02-19 13:58:05+00:00,b'RT @cv_cev: This is a shocking tweet.\n\nIt minimises the threat posed to life by Covid-19. Especially concerning coming from a medical docto\xe2\x80\xa6'

2022-02-19 13:58:05+00:00,b'RT @iggyagbayani: With increasing signals of adverse events and deaths from COVID-19 vaccination and a decreasing number of deaths and hosp\xe2\x80\xa6'

2022-02-19 13:58:04+00:00,"b'In a letter to the U.S. Secretary of Defense, Rep. Annie Kuster and 14 members of Congress asked that COVID-19 test\xe2\x80\xa6 https://t.co/wq9ptih7mu'"

2022-02-19 13:58:04+00:00,"b'RT @SeeLuluRun: No online learning option, nothing has been done to improve ventilation, and now they\xe2\x80\x99re toying with the idea of removing m\xe2\x80\xa6'"

2022-02-19 13:58:02+00:00,b'RT @EfendiMichelle: NEWSFLASH:\xe2\x9a\xa1\xef\xb8\x8f People (and children) are still being coerced &amp; threatened by their schools or employers to get Covid-19 v\xe2\x80\xa6'

2022-02-19 13:58:02+00:00,"b'Cases: 421,955,469 (+0) \nDeaths: 5,875,929 (+269) \nRecovered: 0 (+0) \nActive Cases: 421,955,469 (100%)\nCompleted Ca\xe2\x80\xa6 https://t.co/tmV9sDidS0'"

2022-02-19 13:58:02+00:00,"b'RT @BenjaminMMeier: 3,189 Americans died from COVID-19 today,\nas we convinced ourselves the pandemic is over.'"

2022-02-19 13:58:02+00:00,"b""WVA's not saying COVID-19 shouldn't be taken seriously and he's not suggesting testing should end completely, he's\xe2\x80\xa6 https://t.co/i2bM5Cyvgn"""

2022-02-19 13:58:01+00:00,b'Looking for a vaccination clinic around the city of Trenton? \n\nSee the links below for dates and times and addition\xe2\x80\xa6 https://t.co/BJF8qhA6PB'

2022-02-19 13:57:59+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/uiH4kV528o"""

2022-02-19 13:57:59+00:00,"b'RT @talkRADIO: Children aged five to 11 in England are to be offered a Covid-19 vaccine, the government has announced.\n\nIs this appropriate?'"

2022-02-19 13:57:58+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:58+00:00,"b'J&amp;K reports 166 new COVID-19 cases, no death reported https://t.co/vXO5hlqaq2'"

2022-02-19 13:57:56+00:00,"b""RT @DrTinaPeers: 'Vaccination of (healthy) children aged 5 to 11 is not expected to have an impact on the current wave of Omicron infection\xe2\x80\xa6"""

2022-02-19 13:57:56+00:00,b'RT @mutalabala: Study finds heart inflammation risk 133x greater for teenage boys after Pfizer\xe2\x80\x99s COVID shot - LifeSite https://t.co/Z5AtAZA\xe2\x80\xa6'

2022-02-19 13:57:54+00:00,b'RT @canisgallicus: @YoungDemNetwork I never knew this cd happen so young. His beautiful&amp;2 children; so sad. Science found vaccines for COVI\xe2\x80\xa6'

2022-02-19 13:57:54+00:00,"b'RT @WHOWPRO: Most people who had #COVID19 fully recover, but about 10%-20% of people experience mid- and long-term effects, known as post C\xe2\x80\xa6'"

2022-02-19 13:57:53+00:00,"b""Like an immune system overreacting and harming the person it is meant to protect, the 'dynamic zero-COVID' policies\xe2\x80\xa6 https://t.co/pzTt53185V"""

2022-02-19 13:57:53+00:00,b'Fox News hosted a white nationalist at the Canadian trucker blockade https://t.co/7SNNqH2Udl'

2022-02-19 13:57:53+00:00,b'RT @NickSawyerMD: COVID-19 disinformation campaign is the 2nd Big Lie. \nAmerica\xe2\x80\x99s Frontline Doctors created by the Trump Campaign. Malone h\xe2\x80\xa6'

2022-02-19 13:57:52+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:51+00:00,"b'RT @BNODesk: Biden extends national emergency for COVID-19, says the pandemic continues to cause significant risk to public health and safe\xe2\x80\xa6'"

2022-02-19 13:57:51+00:00,"b""RT @CNN: The antiparasitic drug ivermectin doesn't prevent severe disease from Covid-19 any more effectively than symptom management and cl\xe2\x80\xa6"""

2022-02-19 13:57:51+00:00,"b""RT @Gizmodo: Anti-Vaccine Cartoonist Ben Garrison Says He's Got Covid-19, Won't Go to Hospital https://t.co/NxBzEP6WoX https://t.co/7nA8kbC\xe2\x80\xa6"""

2022-02-19 13:57:49+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 13:57:49+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-19 13:57:48+00:00,"b'RT @BNODesk: Biden extends national emergency for COVID-19, says the pandemic continues to cause significant risk to public health and safe\xe2\x80\xa6'"

2022-02-19 13:57:47+00:00,"b'RT @NtateRanaka: Meet @RealDrBlessing a medical doctor with keen interest in business &amp; entrepreneurship. In 2020, with his mother, he foun\xe2\x80\xa6'"

2022-02-19 13:57:47+00:00,b'RT @inquirerdotnet: Finance Secretary Carlos Dominguez III proposed on Friday new or higher taxes to pay for the foreign debts the Duterte\xe2\x80\xa6'

2022-02-19 13:57:47+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/O6rAaN7K9M"""

2022-02-19 13:57:45+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 13:57:44+00:00,b'COVID-19 cases still on the increase at Larch Corrections Center - https://t.co/W8K8IHv1gn'

2022-02-19 13:57:39+00:00,"b'RT @HinsdaleD86: During its special mtg on Feb. 18, the D86 Board of Ed approved a motion to update the district\xe2\x80\x99s COVID-19 mitigation stra\xe2\x80\xa6'"

2022-02-19 13:57:38+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-19 13:57:37+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:37+00:00,b'RT @EricTopol: More than 1 million lives have been in lost in the United States due to Covid  https://t.co/DYXzR3NkTN\nIt would have been mo\xe2\x80\xa6'

2022-02-19 13:57:36+00:00,"b'RT @Golden_Pup: 2 new COVID-19 vax deaths reported in Ontario this week.\n\nWhile the report says we shouldn\'t interpret these deaths as ""cau\xe2\x80\xa6'"

2022-02-19 13:57:36+00:00,"b'RT @RepThomasMassie: Is anyone still claiming the COVID shots are anything more than a pretreatment? For heaven\xe2\x80\x99s sake, the U.S. Surgeon Ge\xe2\x80\xa6'"

2022-02-19 13:57:36+00:00,b'RT @britboy77: Whoever in their wildest dreams back in 2020...would ever imagine covid-19 killing not only human beings...but Democracy in\xe2\x80\xa6'

2022-02-19 13:57:34+00:00,"b'RT @VDHgov: On February 15 Governor Glenn Youngkin, the First Lady and Secretary of Health and Human Resources John Littel met with city an\xe2\x80\xa6'"

2022-02-19 13:57:34+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:34+00:00,b'RT @MinofHealthUG: .@JaneRuth_Aceng: Uganda is fully out of the \xe2\x80\x98Third COVID-19 Wave\xe2\x80\x99 as seen in the significant drop in cumulative confirm\xe2\x80\xa6'

2022-02-19 13:57:34+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:33+00:00,"b'RT @staronline: Assoc Prof Dr Tan Toh Leong, an emergency physician from Hospital Canselor Tuanku Muhriz (UKM), joins The Star for a Live Q\xe2\x80\xa6'"

2022-02-19 13:57:33+00:00,"b'RT @MLS_Dave: No matter how hard the people in charge try to shut down the COVID-19 numbers because ""The economy"", they can\'t shut down the\xe2\x80\xa6'"

2022-02-19 13:57:29+00:00,"b'@dens_club @InfinityForce_ Currently, Covid-19 has slowed down many global economies, as a cryptocurrency business.\xe2\x80\xa6 https://t.co/s2OWZakmvq'"

2022-02-19 13:57:28+00:00,"b'RT @dgurdasani1: This is tragic. Acute COVID-19 ultimately followed 2 wks later by low O2 saturations on minimal exercise, but completely m\xe2\x80\xa6'"

2022-02-19 13:57:27+00:00,b'RT @RealDoctorMike: Answering all of your questions on the COVID-19 Vaccine for kids with the help of @Surgeon_General \xe2\x9b\x91\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc https://t.co/7\xe2\x80\xa6'

2022-02-19 13:57:26+00:00,b'RT @stphnmaher: We know he has a medical exemption preventing him from getting vaccinated. And we know he brought forward a petition pushin\xe2\x80\xa6'

2022-02-19 13:57:25+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:24+00:00,"b'RT @ImagesByFresh: The GOP are for everything that hurts Americans; they celebrate chaos. \n\nThey are rooting for unemployment, increasing i\xe2\x80\xa6'"

2022-02-19 13:57:23+00:00,"b'RT @MSF_USA: This Valentine\xe2\x80\x99s Day, will you join us in sending a message of love and gratitude to the Doctors Without Borders medical teams\xe2\x80\xa6'"

2022-02-19 13:57:23+00:00,"b'RT @Surgeon_General: Update: my 5 year old son, my wife Alice, and I have all tested positive for COVID-19. Our son has a runny nose and lo\xe2\x80\xa6'"

2022-02-19 13:57:23+00:00,"b'RT @Garrett_Archer: Arizona #COVID19 reporting changes incoming.\n\nConfirmed with @AZDHS , Feb. 26 will be the last covid-19 daily report.\xe2\x80\xa6'"

2022-02-19 13:57:23+00:00,b'Covid-19 and College: Getting a New Car for the New Year of College...https://t.co/JtVOxN8E36'

2022-02-19 13:57:22+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 13:57:21+00:00,"b'RT @SeeLuluRun: No online learning option, nothing has been done to improve ventilation, and now they\xe2\x80\x99re toying with the idea of removing m\xe2\x80\xa6'"

2022-02-19 13:57:21+00:00,b'@RepLeeZeldin Going maskless is only bad when democrats do it? How much of a schmuck do you need to be to publicly\xe2\x80\xa6 https://t.co/xMvkyg673O'

2022-02-19 13:57:21+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/uctAHFhKDD"""

2022-02-19 13:57:19+00:00,b'RT @Reuters: Biden to extend U.S. national emergency due to COVID-19 health risk https://t.co/ilV2VVNQCG https://t.co/ycz806UZcu'

2022-02-19 13:57:17+00:00,"b'Did Dr Coetzee ever withdraw this opinion piece, given that research shows that Ivermectin is not ""proven"" and not\xe2\x80\xa6 https://t.co/0eOJPwIDc8'"

2022-02-19 13:57:14+00:00,"b""RT @PyeparFaisal: We don't have a 4th wave of Covid 19, we have Nobert Mao \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f"""

2022-02-19 13:57:13+00:00,"b'RT @oneunderscore__: ""A Portland man allegedly tried to open the emergency door of a Delta Air Lines flight because he wanted people to vid\xe2\x80\xa6'"

2022-02-19 13:57:12+00:00,"b'RT @Surgeon_General: Update: my 5 year old son, my wife Alice, and I have all tested positive for COVID-19. Our son has a runny nose and lo\xe2\x80\xa6'"

2022-02-19 13:57:12+00:00,"b'RT @BNODesk: Biden extends national emergency for COVID-19, says the pandemic continues to cause significant risk to public health and safe\xe2\x80\xa6'"

2022-02-19 13:57:11+00:00,"b""@Katie37549012 @dancingonapin @FiveTimesAugust @OttawaPolice It's just business.. US: Hospitalization of Unvaccinat\xe2\x80\xa6 https://t.co/aPr2nCM0Hz"""

2022-02-19 13:57:11+00:00,"b'RT @odongaotto: APPRECIATION @KagutaMuseveni ,@JaneRuth_Aceng and entire  team thank you leading Uganda during the COVID 19  Pandemic.The s\xe2\x80\xa6'"

2022-02-19 13:57:11+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/IvbOWvjaec"""

2022-02-19 13:57:10+00:00,b'RT @DGHisham: Clinical trials and real-world evidence have not identified any specific concerns regarding COVID-19 vaccines and people with\xe2\x80\xa6'

2022-02-19 13:57:10+00:00,b'RT @ANI: COVAXIN will be evaluated as a COVID-19 vaccine candidate in the United States: Bharat Biotech https://t.co/llgAZfN02U'

2022-02-19 13:57:09+00:00,"b'RT @FRC7: 2/19/2022Sat AM #1a: 421,956,726 total #Covid-19 Cases in 223 countries (+1,943,833, 0.4%)(+4,195,454 Record 1/19/22), 69,561,332\xe2\x80\xa6'"

2022-02-19 13:57:09+00:00,"b'2/19/2022 AM #1b: Total #Covid-19 cases in USA 80,024,531 (+108,797, 0.1%)(1,398,242 Record 1/11/22), 27,649,488 ac\xe2\x80\xa6 https://t.co/cg41p7MRHh'"

2022-02-19 13:57:09+00:00,b'RT @DJTTracker: BREAKING: A judge in Massachusetts has blocked the city of Boston from imposing a COVID-19 vaccination mandate on public sa\xe2\x80\xa6'

2022-02-19 13:57:07+00:00,"b'RT @OfficialMSGfc: #MaskDistribution by the volunteers of Dera Sacha Sauda in Lalpur, Ambala. Great work done by them in this critical time\xe2\x80\xa6'"

2022-02-19 13:57:07+00:00,"b'@ASlavitt @JohnJHarwood The COVID-19 virus is not an ""enemy"". It has no intentions, no agenda. \n\nThe enemy is any a\xe2\x80\xa6 https://t.co/KklpV7WRsk'"

2022-02-19 13:57:07+00:00,b'RT @KoaTheGreat: NEW \xe2\x80\x94 A clinical trial regional director filed a $2 billion lawsuit against Pfizer &amp; BioNTech alleging the pharmaceutical\xe2\x80\xa6'

2022-02-19 13:57:06+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:06+00:00,b'RT @white_arrow_uk: Good Man \xf0\x9f\x99\x8f @ReeHthe \xe2\x80\x98Yellowstone\xe2\x80\x99 Actor Won\xe2\x80\x99t Attend Awards Ceremony Over COVID-19 Vaccine Rules https://t.co/NsJRybBfE\xe2\x80\xa6'

2022-02-19 13:57:05+00:00,"b'RT @OfficialMSGfc: #137thHumanitarianWork\nSalute to the volunteers of Dera Sacha Sauda of Talakaur, Yamunanagar. They distributed masks to\xe2\x80\xa6'"

2022-02-19 13:57:05+00:00,b'#News #Canada #Montreal COVID-19 in Quebec: What you need to know Saturday https://t.co/N6GY2g6wme'

2022-02-19 13:57:05+00:00,b'RT @WSJ: New York has become the latest state to delay a mandate for healthcare workers to receive Covid-19 vaccine boosters after warnings\xe2\x80\xa6'

2022-02-19 13:57:05+00:00,b'RT @newsmax: Canadian police on Friday started arresting protesters as part of an operation to end a three-week blockade of Ottawa by hundr\xe2\x80\xa6'

2022-02-19 13:57:04+00:00,"b'RT @translatingTXT: \xf0\x9f\x92\x9b: i heard that you don\xe2\x80\x99t necessarily have to get tested for covid-19 through the nasal test anymore, you can also get\xe2\x80\xa6'"

2022-02-19 13:57:04+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:04+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:57:03+00:00,"b'RT @Surgeon_General: Update: my 5 year old son, my wife Alice, and I have all tested positive for COVID-19. Our son has a runny nose and lo\xe2\x80\xa6'"

2022-02-19 13:57:03+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/tPW1T62evx"""

2022-02-19 13:57:01+00:00,"b'RT @ChartsEverglow: Onda was in contact with someone who diagnosed with Covid-19 later,she testes negative but she will be in self-isolatio\xe2\x80\xa6'"

2022-02-19 13:57:00+00:00,"b""Japanese pharma subsidiary's plant-based COVID vaccine on cusp of mass production\n\nA biopharmaceutical company is s\xe2\x80\xa6 https://t.co/bpHGOCc7m5"""

2022-02-19 13:56:59+00:00,"b'RT @arthur_affect: No, the hardest part of COVID-19 is when someone you know gets sick and dies'"

2022-02-19 13:56:59+00:00,"b'2/19/2022Sat AM #1a: 421,956,726 total #Covid-19 Cases in 223 countries (+1,943,833, 0.4%)(+4,195,454 Record 1/19/2\xe2\x80\xa6 https://t.co/5aDvt1TKaA'"

2022-02-19 13:56:59+00:00,"b'RT @BenjaminMMeier: 3,189 Americans died from COVID-19 today,\nas we convinced ourselves the pandemic is over.'"

2022-02-19 13:56:58+00:00,b'https://t.co/tDeW0hb5So https://t.co/52nlP31Yrb Sen. Roger Wicker announces he tested positive for Our Hashtag #FWN #freeworldnews #today'

2022-02-19 13:56:58+00:00,b'RT @FoxNews: Sen. Roger Wicker announces he tested positive for COVID-19 a second time\nhttps://t.co/Rk85Tb8np5'

2022-02-19 13:56:58+00:00,"b'RT @talkRADIO: Children aged five to 11 in England are to be offered a Covid-19 vaccine, the government has announced.\n\nIs this appropriate?'"

2022-02-19 13:56:56+00:00,b'RT @statsjamie: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 The latest JCVI advice says you need to vaccinate FOUR MILLION children to avoid ONE CHILD admitted to intensive care be\xe2\x80\xa6'

2022-02-19 13:56:55+00:00,"b'Interesting analysis. Would be curious to see underlying data, methods, etc. #InfectionPrevention\n\nBy @_melaevans \nhttps://t.co/ZwcjNKyM6l'"

2022-02-19 13:56:55+00:00,"b'RT @ThatBlokeSean: Sajid Javid: Support for 500,000 Immunocompromised People for whom Covid-19 remains a significant risk - Sign the Petiti\xe2\x80\xa6'"

2022-02-19 13:56:55+00:00,b'RT @RobManess: Biden to extend U.S. national emergency due to COVID-19 health risk | Reuters https://t.co/LrgPNe2gXQ'

2022-02-19 13:56:54+00:00,b'List of centers administering Covid-19 Vaccine  In P South Ward.\n\n100% walk in \n\nTime: as per the Above table/chart\xe2\x80\xa6 https://t.co/F6SVCzTHOK'

2022-02-19 13:56:54+00:00,"b'RT @COVIDnewsfast: BREAKING: President Joe Biden has extended the COVID-19 national emergency for the US, citing ""a continued threat to pub\xe2\x80\xa6'"

2022-02-19 13:56:52+00:00,b'RT @BernieSanders: We need to stop bipartisan support for a bloated military budget. While defense contractors make huge profits and we spe\xe2\x80\xa6'

2022-02-19 13:56:52+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 13:56:52+00:00,b'RT @vaxreports1: Health Canada\xe2\x80\x99s Definitions of adverse events\nhttps://t.co/iPAAXxrBni https://t.co/8iKZGJ94nQ'

2022-02-19 13:56:50+00:00,"b'RT @MinofHealthUG: Results of COVID-19 tests done on 17 February 2022 confirm 31 new cases. The cumulative confirmed cases are 163,004. #ST\xe2\x80\xa6'"

2022-02-19 13:56:49+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/RSRNUqzDCK"""

2022-02-19 13:56:48+00:00,"b'RT @LadySpaulding11: What does it mean that the WSJ is reporting on this now? Is it just good old journalism, or are the serious AEs and de\xe2\x80\xa6'"

2022-02-19 13:56:48+00:00,b'RT @sophieblack2016: JCVI A cursory search on the remaining nine revealed that six had conflicts of interest \xe2\x80\x93 from running a COVID-19 vacc\xe2\x80\xa6'

2022-02-19 13:56:47+00:00,b'RT @AnitaFireTheUcp: @goucher @ezralevant Yeah\xe2\x80\xa6 taking a mile to build a national childcare policy\xe2\x80\xa6 oooh\xe2\x80\xa6. Evil!!!  \xf0\x9f\xa4\xa3\xf0\x9f\x98\x8e https://t.co/2lSQd6H\xe2\x80\xa6'

2022-02-19 13:56:47+00:00,b'RT @ahahospitals: FDA alerts providers to #COVID19 rapid test recall. #AHAToday https://t.co/Z95ihbsYgz'

2022-02-19 13:56:45+00:00,b'*** ONLY 166 of 224 countries and territories reported any new #Covid-19 cases in last 24 hours***   \n83 countries\xe2\x80\xa6 https://t.co/ZWWIdXUInk'

2022-02-19 13:56:45+00:00,b'#MaskDistribution \xf0\x9f\x99\x8f\n \nDue to covid 19 #DeraSachaSauda followers following the teachings of their guru #SaintDrMSG m\xe2\x80\xa6 https://t.co/eqEncikeNI'

2022-02-19 13:56:42+00:00,"b'Daily cases surpass 1000 mark for 21st consecutive day \n\nA total of 1,273 COVID-19 patients identified today: Govt.\xe2\x80\xa6 https://t.co/pYT6ICBWMQ'"

2022-02-19 13:56:41+00:00,"b""From making India's first Cancer hospital TO donating funds in Covid-19, we are thankful to you Sir!\nlet's get toge\xe2\x80\xa6 https://t.co/zwZ0ZFyyGj"""

2022-02-19 13:56:41+00:00,b'RT @ANI: COVAXIN will be evaluated as a COVID-19 vaccine candidate in the United States: Bharat Biotech https://t.co/llgAZfN02U'

2022-02-19 13:56:41+00:00,b'RT @FoxNews: Sen. Roger Wicker announces he tested positive for COVID-19 a second time\nhttps://t.co/Rk85Tb8np5'

2022-02-19 13:56:40+00:00,"b""RT @Cleavon_MD: It's the 6th week in a row that we're seeing increasing deaths from COVID-19. In the last week alone ~75,000 people died. A\xe2\x80\xa6"""

2022-02-19 13:56:40+00:00,"b'RT @RebelNewsOnline: Prime Minister Justin Trudeau is facing criticism online after an unsubstantiated claim that his foundation, the Trude\xe2\x80\xa6'"

2022-02-19 13:56:39+00:00,b'RT @BharatBiotech: COVAXIN\xe2\x93\x87 will be evaluated as a COVID-19 vaccine candidate in the United States. \n\n#COVID19 #COVAXIN #VaccineMandate #Bh\xe2\x80\xa6'

2022-02-19 13:56:38+00:00,"b'RT @AnaCabrera: NEW: Ivermectin doesn\xe2\x80\x99t prevent severe disease from Covid-19 any more effectively than a placebo, according to a new study\xe2\x80\xa6'"

2022-02-19 13:56:37+00:00,"b""RT @CNN: The antiparasitic drug ivermectin doesn't prevent severe disease from Covid-19 any more effectively than symptom management and cl\xe2\x80\xa6"""

2022-02-19 13:56:37+00:00,"b'RT @jimgoddard_ns: Financial help during Covid-19 for individuals, families, business. Is that what you are calling #TrudeauTyranny'"

2022-02-19 13:56:34+00:00,"b'RT @MinofHealthUG: Results of COVID-19 tests done on 17 February 2022 confirm 31 new cases. The cumulative confirmed cases are 163,004. #ST\xe2\x80\xa6'"

